PuzzleId	FEN	Moves	Rating
lyXpr	N5k1/5pp1/p5n1/7p/5PK1/bB2r2P/2P5/1R1R4 w - - 0 32	g4g5 a3e7 g5h5 e3g3 b3f7 g8f7 d1f1 g6h4 b1b3 h4f5 b3g3 f5g3 h5g4 g3f1	2621
5slLr	r6k/p4p1p/6rQ/2pb4/8/2p1BP2/P1PnK2P/R7 w - - 3 27	h6f4 d5f3 e2d3 a8d8 d3c3 d2e4 c3b3 g6b6	2629
0YUya	8/2Q1nkp1/1N2p2p/3p1p2/3P4/4PKP1/1q3PP1/8 b - - 14 42	b2b4 b6c8 e6e5 c7e5 e7c8 e5f5 f7e7 f5c8	2594
LJHot	5r1k/ppQ3b1/2np2P1/3Bp1B1/2P3qP/3P3n/PP6/1KR5 b - - 4 27	h3g5 h4g5 g4h3 a2a3	2575
OzPKn	8/5R1p/6p1/6P1/r2p3P/4k1K1/8/8 w - - 0 50	f7h7 d4d3 h7e7 a4e4 e7e4 e3e4 g3f2 e4f5 f2f3 d3d2 f3e2 f5g4 e2d2 g4h4 d2e3 h4g5	2551
IMHiO	2r1r2k/p2QP1p1/7p/4B3/2p2P2/7P/2q3P1/3R3K b - - 3 36	c4c3 d1d6 h8h7 d7c8 e8c8 d6d8 c2f5 e7e8q c8d8 e8d8	2570
xobpF	8/8/8/k4p2/4pPp1/P1K3P1/8/8 w - - 0 49	c3b3 a5b5 b3c3 b5c5 a3a4 c5d5	2637
gJx3j	r2q1rk1/5ppp/p1pb1n2/1p5R/8/1BP2Q2/PP1P1PPP/RNB3K1 b - - 2 15	f6h5 f3h5 d8e7 h5d1 f8e8 d1f1	2642
CdSvB	5k2/p1p3p1/2q1p1Q1/1p2p2P/4P1K1/1P4P1/P7/8 b - - 0 35	c6e8 g6e8 f8e8 b3b4 a7a5 b4a5	2649
MdiLO	3r1rk1/1Q1N1ppp/6q1/p1pR4/8/1P4Pn/P4P1P/5R1K w - - 5 27	d7f8 g6e4 f2f3 e4e2 b7a6 e2a6	2591
FrQca	6k1/5pp1/p6p/1pq1P3/2p1QbN1/P1P4P/1PBr2P1/5K2 b - - 4 36	g7g6 e4f4 d2c2 f4h6 c2f2 g4f2	2589
SzKy3	8/1rRr1pk1/1p1Pq1pp/p7/2R1pQPP/P3P3/1P3P2/6K1 b - - 3 31	d7d6 c7b7 d6d1 g1h2	2572
ifrNS	1k4r1/nPpq4/3p1n1r/3Np2p/2P4N/3P2p1/P2QPPK1/R4R2 w - - 1 24	f2g3 g8g3 g2f2 d7h3 d2h6 f6g4 f2e1 g4h6	2551
OAetO	8/P4p2/1K1k2p1/7p/1R6/5P2/8/r7 b - - 0 49	g6g5 b4b5 a1a7 b6a7 f7f6 f3f4	2554
WHpxX	r4k2/2Q3pp/1pP4q/8/4N3/3B2P1/5PKP/r7 b - - 0 32	a1a3 d3c4 a3a7 c7b6 h6g6 b6c5	2577
HcdiL	2r2rk1/4p1b1/p2pp2R/qpn1n1Q1/2B1P3/1PN3P1/PBP5/1K1R4 b - - 2 25	b5c4 d1h1 e5f7 g5g6 f7h6 c3d5 f8f7 b2g7 f7g7 d5e7 g8f8 g6h6	2586
1zepI	rnb1k3/ppp1p2p/6pB/4br2/2B5/8/PPP4P/R2NK1NR w KQq - 2 17	d1e3 f5h5 g1f3 e5b2 a1d1 b2c3 e1f2 h5h6 e3d5 c3a5	2619
