,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
2072478,qeZlM,8/1p3p1k/6r1/p1p2KR1/P2pP3/1P1P4/2P5/8 b - - 8 52,g6g5 f5g5,511,217,0,27,crushing endgame oneMove,https://lichess.org/qR40uBH4/black#104
1772955,j1tpS,5rk1/p5pp/4Q3/8/1P1P4/2P1q2P/P2p1RP1/5RK1 b - - 0 30,e3e6 f2f8,514,131,0,43,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ogLvba75/black#60
1147830,TA8Pj,4r2k/1n4pp/p7/1p6/3p2R1/8/5PPP/3Qq1K1 w - - 1 37,d1e1 e8e1,528,146,-25,35,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/5E72FTv2#73
1786942,jO41u,6k1/5ppq/8/p2r2B1/1p6/5P2/6PP/R3R2K b - - 0 37,d5g5 e1e8,545,120,-25,48,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/e35ZxeXB/black#74
2400500,yzhWK,3k4/pp1P4/3KPr2/8/8/8/PP4Rp/8 b - - 0 56,h2h1q g2g8 f6f8 g8f8,550,109,50,94,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/EChkgBEa/black#112
1629398,fOCeg,2R5/2b2pk1/4p1p1/1p1r4/1P5p/7P/6P1/R2r3K w - - 4 39,a1d1 d5d1,550,124,37,53,endgame mate mateIn1 oneMove,https://lichess.org/y3dphN4z#77
1891823,m2vDL,6k1/p4p1p/4r1pP/1pKR1pP1/1P3r2/2P5/8/8 b - - 0 40,a7a6 d5d8 e6e8 d8e8,550,106,31,88,endgame mate mateIn2 rookEndgame short,https://lichess.org/7fQc4vT4/black#80
906352,N0wR2,8/1pRrk3/pP1p2p1/4p2p/1P2P2P/4P1P1/4K3/8 w - - 8 51,c7d7 e7d7,550,112,50,58,crushing endgame oneMove,https://lichess.org/mWdKPAD7#101
43253,16SdZ,5bk1/p4p1p/6p1/2p5/8/2P3Q1/4q1PP/4Rr1K w - - 2 32,e1f1 e2f1,550,148,-11,20,endgame mate mateIn1 oneMove,https://lichess.org/dGpd7skl#63
2065467,qTeSd,4rk1r/p1p3pp/5n2/8/5Q2/8/PP3PPP/3Rq1K1 w - - 1 22,d1e1 e8e1,550,98,33,96,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/A7rqry3T#43
969384,OcXzT,3r3k/5p1p/6p1/ppp5/5PQ1/2P5/5PPP/3q2K1 w - - 0 29,g4d1 d8d1,550,103,33,58,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/Ho6CanMo#57
2163991,sy1WL,1r6/1P6/3p4/3B1k2/2P3p1/6Pp/2r1RK1P/8 b - - 4 44,c2e2 f2e2,550,120,33,74,advantage endgame oneMove,https://lichess.org/KBf5NRRl/black#88
233973,5wUQo,B1r3k1/p1p2ppp/1p4q1/2p1P3/2b2Pn1/P5P1/3R3P/3R2K1 b - - 0 23,c8a8 d2d8 a8d8 d1d8,550,115,41,71,backRankMate endgame mate mateIn2 short,https://lichess.org/XeT7RMja/black#46
2132576,sB7DB,8/p1p4p/2p5/4r1p1/3kb1P1/1PN1R2P/P3K3/8 w - - 0 31,c3e4 e5e4 e3e4 d4e4,550,112,-20,66,crushing endgame short,https://lichess.org/UPURVqdu#61
2124510,ryTS1,6k1/p4bp1/1p3p1p/8/2B5/P4P2/1P4PP/7K w - - 1 31,c4f7 g8f7,550,113,17,64,advantage endgame oneMove,https://lichess.org/0UkVercs#61
2186155,tWyMN,5b2/5p2/2k1p1P1/p1p1Pn1K/1pP5/1P1N4/P2B4/8 b - - 0 49,f7g6 h5g6,550,117,25,49,advantage endgame oneMove,https://lichess.org/a9tutMKV/black#98
