PuzzleId	FEN	Moves	Rating	correct_answer	timed_out	time_elapsed
hm3dF	r4rk1/5pbp/p1pp2P1/q1nPp3/1pPnP3/2N1B3/PPBQ1PP1/2KR3R w - - 0 18	h1h7 b4c3 h7g7 g8g7	1490			
eC2XM	rnbq2nr/ppp2kpp/3p1b2/3N4/4P3/5N2/PPPP3p/R1BQ1R1K b - - 1 10	c8e6 f3g5 f7e8 g5e6	1471			
m7Qy6	r5nr/ppk3pp/2pbbp2/4n3/2P1PB2/P1N2N2/1P4PP/3RKB1R w K - 5 13	c4c5 e5f3 g2f3 d6f4	1475			
DcSy6	8/5p1k/1Q2p2p/P7/1K1P4/3q4/8/8 b - - 10 59	h6h5 a5a6 d3b1 b4c5	1486			
Wz7fn	r1bk3B/2pp3B/1pn2p2/p7/1b6/2q5/P3QPPP/3R1KNR w - - 0 15	e2d3 c8a6 d3a6 a8a6	1484			
UdNyg	3r4/5kpp/3B4/2P1pN1P/1p4P1/pb3P2/8/K7 b - - 0 34	f7f6 d6e7 f6e6 e7d8	1538			
URS2t	2r1R3/1p3ppk/p7/P1P2P2/1P2Q2p/2q2P1P/3r4/4R2K b - - 12 53	c8e8 e4h4 h7g8 e1e8	1514			
YcPt4	2r2rk1/Q3npp1/1pnqp3/1B1pN2p/3P2b1/2P5/PP1N1PPP/R3K2R w KQ - 1 14	a7b6 c8b8 b6c5 d6c5	1517			
xrfUL	7r/p7/3p4/4p1PP/1P1k3K/P4P2/8/8 b - - 0 54	d4c3 g5g6 h8g8 h4g5 d6d5 h5h6 d5d4 h6h7	1528			
Hs4NV	2r2rk1/p3ppbp/3p2p1/qp1P4/4PB2/P1N3Q1/1R3PPP/2R3K1 b - - 0 20	g7c3 b2c2 a5a3 c2c3	1541			
RzdE4	5rk1/4bppp/3p4/1Bp4b/8/3PBPR1/qPP2P1P/3QK3 w - - 2 20	b2b3 a2a5 e1f1 a5b5	1485			
OYEnC	5r2/p2k2NR/2p2r2/2p3K1/P3P3/1P1P4/2P5/8 b - - 1 49	f8f7 e4e5 f6f1 e5e6	1486			
AKm49	1k3r2/1p4p1/pn1Np2p/4P3/3R4/1P6/1P4PP/6K1 b - - 5 27	b6d5 d4d5 e6d5 e5e6 f8g8 e6e7	1533			
2DDF6	r4qk1/pp2R2p/2pQ1np1/8/8/2P2PNb/PP3P1P/R5K1 w - - 3 20	d6c7 f6d5 c7b7 d5e7	1471			
rFnOB	5r2/Q5pk/2p4p/P1P5/3q1p2/6P1/5P1P/4R1K1 w - - 0 31	a7b6 f4g3 b6b1 h7h8 h2g3 d4f2	1504			
XvNIU	r3r1k1/p1p2p2/1p1q2p1/2pP4/2PbN3/3Q4/P5PP/1R3R1K b - - 1 23	d6d7 d3d4 c5d4 e4f6 g8g7 f6d7 a8d8 d7f6	1524			
rAOh7	r3r1k1/p1Qb1p1p/8/8/8/2P1q3/PPP5/1K1R1R2 b - - 1 21	d7g4 c7f7 g8h8 f7f6	1522			
qqtYR	3rr3/p1q2pk1/2n3p1/5P2/2pp2PQ/7B/PP5P/2K2R1R b - - 0 27	c4c3 f5f6 g7g8 h4h6 e8e1 f1e1 c7f4 h6f4	1519			
8s6cc	4r3/1q4pk/4P2p/pp6/2pP1QR1/P1P3P1/1P5P/4nK2 w - - 0 41	f1e1 e8e6 e1f2 e6f6 f2g1 f6f4	1533			
HJN35	r7/pp2ppk1/3P1np1/2p1B3/8/P4R2/7P/6K1 b - - 0 36	e7d6 e5f6 g7f8 f3h3 f8e8 h3h8 e8d7 h8a8	1469			
ojANN	rnb1k2r/ppp1qppp/5n2/3BQ3/4P3/5N2/PPPP1bPP/RNB1K2R w KQkq - 0 7	e1f2 f6g4 f2e2 g4e5	1494			
ORgGN	8/3R4/8/8/2pn1P2/3kp3/P7/4K3 w - - 2 58	f4f5 c4c3 f5f6 c3c2	1482			
aZaiT	5R2/7p/8/3pP1k1/3K4/7r/8/8 b - - 10 47	h7h5 e5e6 h3h1 e6e7	1493			
NLdA2	8/8/3R2pp/4Qp1k/2P5/1P3PPn/7P/2q4K w - - 1 49	h1g2 c1g1 g2h3 g1f1	1511			
