PuzzleId	FEN	Moves	Rating	correct_answer	timed_out	time_elapsed
i8uOL	5r2/8/R7/1pkp1rpp/4p3/2P1K3/1P1R1PPP/8 b - - 1 34	f8f6 b2b4 c5c4 a6a3 f5f3 g2f3	2231			
PRMwm	6k1/5p2/1p1b2p1/p5P1/3PqP1Q/2P4P/PP1BrRK1/8 w - - 3 27	g2g1 e2d2 f2d2 d6f4 g1f1 e4h1	2207			
jk4lR	r1bqk2r/pp3pbp/2n1pnp1/2p3P1/4p3/1P1P1Q2/PBPN1P1P/R3KBNR w KQkq - 0 9	d2e4 f6e4 b2g7 d8a5 c2c3 e4c3	2242			
vDUBu	rn3rk1/pBp2ppp/4b3/8/1b2PBnq/2NPQ3/PPP3PP/R4KNR w - - 1 12	e3d4 c7c5 g1f3 h4e7 d4d6 e7b7	2238			
9cahG	r1bqr2k/p5pp/1bp2p2/8/1PB1NBn1/P3P1Q1/2P3PP/R3K2R w KQ - 1 18	c4d3 g7g5 e1c1 g5f4	2235			
bdD9L	r3rnk1/1bq2ppp/pp2p3/3nN3/1B1PB3/2P2Q2/P4PPP/R4RK1 b - - 7 18	a8a7 b4d6 c7d6 f3f7 g8h8 f7e8	2169			
DXrd5	2k3r1/pppnRR2/3p2r1/3b4/8/7B/PP1N2P1/6K1 w - - 0 27	e7d7 g6g2 h3g2 g8g2	2196			
qo3ox	8/1k4pp/p1pp4/2p2P2/2P3P1/1P6/P4K1P/8 b - - 0 35	h7h6 h2h4 b7c7 g4g5 h6g5 f5f6 g7f6 h4h5	2230			
K1KyH	r1b1k2r/1p4p1/pb2pp1p/8/4B3/2P2N1P/PP3PP1/3RR1K1 b kq - 1 20	g7g5 e4b7 c8b7 e1e6 e8f7 e6b6 b7f3 g2f3	2249			
sBxPf	4Q3/1p3p1k/p1p3b1/3P1n2/PP4q1/2B5/3N1P2/6K1 w - - 1 34	g1f1 g4h3 f1g1 h3c3	2165			
P9Zjz	4r1k1/ppb2pN1/1npq1n1p/3p4/3P4/1PP2P2/P1BQ2PP/R1B3K1 w - - 1 21	d2h6 e8e1 g1f2 f6g4 f3g4 d6h6 c1h6 e1a1	2178			
1qQU4	3r2k1/1p3pp1/2qpr2p/4P3/3Q4/2P2P2/P5PP/3RR1K1 w - - 1 24	e5d6 e6d6 d4d6 d8d6 d1d6 c6d6	2209			
WJL2C	r5k1/ppp2r1p/n5pB/3PpPQ1/8/2q3P1/2PR3P/4KR2 w - - 1 23	f5g6 c3a1 d2d1 f7f1 e1f1 a1d1	2171			
2SIro	r4r1k/ppp1b1p1/1Bq4p/4P2P/6P1/P2Q1N2/2P1K3/R5R1 w - - 2 25	b6d4 f8f3 d3f3 c6c2 e2f1 a8f8 f3f8 e7f8	2177			
5u640	2r4k/6pp/p2p1b2/1bqP4/1R1Np3/6PQ/5P1P/1R4K1 w - - 1 32	d4e6 c5b4 b1b4 c8c1 h3f1 c1f1	2247			
ftFgN	3r1rk1/7p/b5p1/4p3/B1pnP3/P1N1QPP1/1q4KP/3R1R2 w - - 0 30	d1d2 d4f5 d2b2 f5e3 g2f2 e3f1	2204			
d8qY4	2r2k2/1b3n1P/4pq2/8/3pB1Q1/3P2P1/5P2/4R1K1 b - - 2 38	b7e4 g4g8 f8e7 g8c8 e4h7 c8c5	2236			
0KO0n	b5k1/p2qp1bp/1p1p2p1/5r2/3P4/4B3/PPP2PPP/R2Q1RK1 w - - 0 17	d1g4 f5f2 f1f2 d7g4	2155			
kOJ2V	r2q1r1k/p4R1p/1p2N3/2b4n/2P5/1P6/PB3PPP/R5K1 b - - 0 22	d8f6 b2f6 h5f6 e6f8	2153			
sXgc0	r1b1k2N/ppp1q1pp/1b6/3Bp3/3nP3/8/PPPP2PP/R1BQ1K1R w q - 1 11	c2c3 e7f6 f1e1 d4c2 e1e2 c8g4	2189			
StRZ4	8/5p1p/4k3/pp1N4/4K1p1/P1P4P/1P2b1P1/8 b - - 1 42	e2d3 e4d3 g4h3 d5f4 e6e5 f4h3	2210			
ekWqf	8/2N3k1/p2p1pp1/1p6/1P1b4/P7/2P3P1/3K4 b - - 3 35	d4b2 c7a6 d6d5 a6c7	2177			
HX3ZW	8/2Nbk1p1/B4p1p/2P5/1P4P1/r6K/7P/5R2 w - - 1 41	h3h4 g7g5 h4h5 e7f7 f1f6 f7f6	2167			
IfbLF	7R/7P/8/8/8/8/3K1p2/5k1r w - - 0 71	d2e3 f1e1 h8a8 h1h3	2193			
3GBT8	r2q1r1k/2p2pn1/1p4pp/p1pP4/P1P3R1/4Q3/1PB3PP/5RK1 b - - 7 26	g6g5 g4h4 h8g8 h4h6	2193			
EDkdn	3r2k1/1b3pp1/1N1bp2p/pP1n3q/P2B1P2/3BP3/1Q4PP/2r2RK1 w - - 0 28	f1c1 d5f4 e3f4 d6f4	2222			
Pp2zP	2krr3/pppq4/2n2b1n/1NP2p2/5N1p/PQ3P2/1P1p2PB/1K1R3R b - - 5 24	a7a6 b5c7 d7c7 f4d5 d8d5 h2c7	2227			
Nf9TF	4r3/8/3p1pk1/6p1/2P5/QP1P4/1P1r1BP1/5K2 w - - 3 36	b3b4 d2d1 f2e1 d1e1	2199			
KjRdi	r1b3k1/3q1ppp/pp1r1n2/2p5/2P1B3/2N4P/PPQ2PP1/3RR1K1 b - - 1 19	f6e4 c2e4 d6d1 e1d1	2184			
lVNvW	1r2kb1r/p4ppp/2N1b3/q2p4/3Pn3/2PQB3/p4PPP/RN3RK1 b k - 3 18	a2b1q a1b1 b8b1 c6a5	2211			
2ZbMn	r1bq1rk1/pppp1Npp/1bn5/4PQ2/2BP4/8/PP4PP/RNB1K2n b Q - 0 11	f8f7 f5f7 g8h8 c1g5 d7d5 g5d8	2182			
Me0yT	r2q1rk1/bpp2ppp/p1np4/3N2B1/2B1b3/2P4P/PP1Q2PK/3R1R2 b - - 1 18	d8c8 d5f6 g8h8 f6e4	2198			
NC3xj	2kr4/5pr1/p1n5/1p6/4pb2/2P2N1P/PPK2Pn1/1R1QR3 w - - 0 25	d1e2 e4f3 e2e4 d8d2	2176			
FhDaO	r5k1/4rpp1/p1nq2p1/1p1p2N1/3PnP2/P1NQ4/1P4PP/2R1R1K1 b - - 4 23	e4c3 d3h3 c3e2 g1h1	2162			
cM0If	8/2R4p/5Pp1/4p3/4K1kP/1r6/8/8 b - - 0 40	g4h4 c7h7 h4g5 f6f7 b3b8 e4e5	2171			
wBSrk	2rn2k1/p2R1pp1/1p5p/3P4/PP2N3/1Q2P3/2r1qPPP/5RK1 w - - 5 31	e4d6 c2c1 d7d8 g8h7 b3b1 c1b1	2172			
GLPse	r2qr1k1/1bb2pp1/p4n1p/npp1pN2/4p2N/2PP4/PPBQ1PPP/R1B1R1K1 b - - 1 16	b7c8 f5g7 e4e3 e1e3 a5c4 d3c4 d8d2 c1d2	2182			
Oydr0	1r1r2k1/5ppp/2R1p3/R7/4n3/4B2P/1b3PP1/5BK1 b - - 0 25	d8d1 a5b5 d1d8 c6b6 b8b6 e3b6	2164			
AaCEP	5r1k/6pp/1r2B3/1Pp1Ppqb/P3p2b/1Q2P3/1B1R2PP/R5K1 w - - 3 27	e6d5 f5f4 e3f4 g5f4	2170			
FoGLm	2kr3r/1pp1n1p1/3P4/1R3p1p/1B2p3/P3P3/4QPP1/q4NK1 b - - 1 24	e7c6 b5b7 d8d6 b4d6 c8b7 e2b5	2215			
jHQKd	5rk1/r4pb1/pqb4p/1pN3pQ/3p4/1B1P4/PP3PPP/2R1R1K1 b - - 13 24	c6a8 c5e6 f7e6 e1e6 b6e6 b3e6	2204			
fZdKP	3r1nk1/4R1pp/1p2pB2/2p5/1PP2P1P/5bP1/1Q4BK/3q4 b - - 0 27	g7f6 b2f6 d1d4 f6f7 g8h8 g2f3	2230			
OwrqK	5rk1/pp2brp1/3p1p1p/8/1PR5/P1Q5/qB3PPP/2R3K1 b - - 5 24	d6d5 c4d4 e7d6 c1a1 a2a1 b2a1	2239			
jYH9a	r1b4r/ppp2kpp/2p5/2b5/4P2q/3P1Q1P/PPP2nP1/RNB2RK1 b - - 1 10	h4f6 f3h5 f7g8 h5c5 f2h3 g2h3	2216			
7NoDn	8/8/1p3k2/7P/8/6PK/8/8 w - - 1 63	g3g4 b6b5 h3g3 b5b4 g3f4 b4b3	2202			
M29aY	5rk1/pp2q1p1/3p4/2pPr3/2P3Q1/7R/PP3P1P/5KR1 w - - 7 23	h3g3 e5e1 f1g2 e1g1 g2g1 e7e1 g1g2 f8f2 g2h3 e1f1	2245			
wp8Y8	8/1pr3pk/p2q1n1p/8/P3pR2/1P2PP1P/2Q3RK/8 w - - 1 40	c2b1 g7g5 f3e4 d6e5	2240			
wHDOU	5r2/2p1p3/p2q2kp/1p6/2b1p1P1/4R2P/PPP1Q1K1/R7 w - - 7 30	e2e1 f8f1 e1f1 c4f1	2192			
Nogpb	2r5/p1p2kpp/6q1/4Pb2/4nP2/3Q4/PP4PP/RN3RK1 w - - 3 19	b1d2 g6b6 g1h1 e4f2 f1f2 f5d3	2232			
eo99E	r2r1bk1/1p3p1p/1qp3p1/3p4/3P1Q2/pPP2B1P/P3RPP1/4R1K1 b - - 0 24	c6c5 e2e7 f8e7 e1e7 d8f8 f3d5	2188			
tKzO4	8/7p/3k4/p2p1b1P/Pb1R1Pp1/1Pp3P1/2R2K2/8 w - - 5 40	c2c1 b4c5 f2e3 c3c2	2161			
OX80l	r2q1rk1/pb1n1pbp/1p2pnpB/2p1N3/2BP4/2N5/PPPQ1PPP/4RRK1 b - - 1 12	d7e5 d4e5 d8d2 h6d2	2178			
JJyJV	1rr3k1/5ppp/2p2q2/p1P3N1/1p1PQ1PP/4P2R/PP6/1K6 b - - 0 23	h7h6 e4h7 g8f8 h3f3 h6g5 f3f6	2161			
TExLi	r7/3k4/PB4p1/1K1p1p2/3PpPpP/4P1P1/8/8 b - - 0 63	d7d6 a6a7 d6d7 b5c5	2216			
3umEf	2k1r2r/pp1b2p1/1p6/2p4p/3P1Bn1/2PB1qPP/PPQ2P2/R4RK1 w - - 0 21	a1e1 d7c6 d4d5 c6d5 d3f5 c8d8	2170			
x0CS1	2k1r1b1/ppp5/2p5/4N1N1/3P2Pp/2P2R1P/1qQK1Pn1/8 b - - 1 35	b2b5 c2f5 c8b8 e5d7 b8a8 f5b5	2196			
